text,label,sarcasm_type,source,has_emoji,has_hashtag,text_length,clean_text,emoji_count
Perfect timing for teamwork in class. 😂 #life,1,situational,synthetic,1,1.0,45.0,perfect timing for teamwork in class 😂 life,
I really enjoyed the feedback I got today. 😊,0,none,synthetic,1,0.0,44.0,i really enjoyed the feedback i got today 😊,
So happy that the presentation today happened today. 🙃 #sarcasm,1,verbal_irony,synthetic,1,1.0,63.0,so happy that the presentation today happened today 🙃 sarcasm,
the long meeting improved my day. 😊,0,none,synthetic,1,0.0,35.0,the long meeting improved my day 😊,
"Amazing, my internet stopped working again. 😂 #irony",1,situational,synthetic,1,1.0,52.0,amazing my internet stopped working again 😂 irony,
the client call made me feel happy.,0,none,synthetic,0,0.0,35.0,the client call made me feel happy,
So happy that lunch with friends happened today.  #irony,1,situational,synthetic,0,1.0,56.0,so happy that lunch with friends happened today  irony,
Today was great because of the weather today.,0,none,synthetic,0,0.0,45.0,today was great because of the weather today,
"Oh great, another the long meeting.  #sarcasm",1,understatement,synthetic,0,1.0,45.0,oh great another the long meeting  sarcasm,
the slow laptop went very well. 😊,0,none,synthetic,1,0.0,33.0,the slow laptop went very well 😊,
"Nice, the power cut ruined everything. 😅 #life",1,understatement,synthetic,1,1.0,46.0,nice the power cut ruined everything 😅 life,
Feeling positive about my workout. 😊,0,none,synthetic,1,0.0,36.0,feeling positive about my workout 😊,
"Fantastic, my day is complete with the weather today. 😂",1,understatement,synthetic,1,0.0,55.0,fantastic my day is complete with the weather today 😂,
the delayed bus made me feel happy. 😊,0,none,synthetic,1,0.0,37.0,the delayed bus made me feel happy 😊,
"Sure, because working late is exactly what I wanted. 😅 #irony",1,exaggeration,synthetic,1,1.0,61.0,sure because working late is exactly what i wanted 😅 irony,
I really enjoyed the presentation today today. 👍,0,none,synthetic,1,0.0,48.0,i really enjoyed the presentation today today 👍,
"Fantastic, my day is complete with the presentation today. 🙃 #mood",1,verbal_irony,synthetic,1,1.0,66.0,fantastic my day is complete with the presentation today 🙃 mood,
I truly appreciate extra homework. 👍,0,none,synthetic,1,0.0,36.0,i truly appreciate extra homework 👍,
"Nice, my vacation plans ruined everything. 😅 #mood",1,verbal_irony,synthetic,1,1.0,50.0,nice my vacation plans ruined everything 😅 mood,
the slow laptop made me feel happy. 😊,0,none,synthetic,1,0.0,37.0,the slow laptop made me feel happy 😊,
Perfect timing for the slow laptop. 🙃 #irony,1,understatement,synthetic,1,1.0,44.0,perfect timing for the slow laptop 🙃 irony,
the feedback I got improved my day.,0,none,synthetic,0,0.0,35.0,the feedback i got improved my day,
"Oh great, another the slow laptop. 😒 #sarcasm",1,situational,synthetic,1,1.0,45.0,oh great another the slow laptop 😒 sarcasm,
my internet crashing made me feel happy. 👍,0,none,synthetic,1,0.0,42.0,my internet crashing made me feel happy 👍,
"Sure, because my vacation plans is exactly what I wanted. 😒",1,situational,synthetic,1,0.0,59.0,sure because my vacation plans is exactly what i wanted 😒,
lunch with friends made me feel happy. 😊,0,none,synthetic,1,0.0,40.0,lunch with friends made me feel happy 😊,
"Nice, the weather today ruined everything. 😂 #irony",1,verbal_irony,synthetic,1,1.0,51.0,nice the weather today ruined everything 😂 irony,
